coin,open_interest,funding_rate,oracle_price,mark_price,timestamp
SEI,32976206.0,1.25e-05,0.072797,0.072726,2026-02-11T14:13:27.846245
RUNE,2664179.2,9.2622e-06,0.395,0.39465,2026-02-11T14:13:27.846248
OX,0.0,0.0,0.004982,0.007459,2026-02-11T14:13:27.846251
FRIEND,0.0,0.0,0.47734,4.72,2026-02-11T14:13:27.846253
SHIA,0.0,0.0,0.000209,0.000621,2026-02-11T14:13:27.846256
CYBER,0.0,0.0,1.043,1.0415,2026-02-11T14:13:27.846258
ZRO,26028172.000000007,6.1217e-06,2.5025,2.5019,2026-02-11T14:13:27.846261
BLZ,0.0,0.0,0.070028,0.070043,2026-02-11T14:13:27.846264
DOT,3280344.5999999996,1.25e-05,1.2925,1.292,2026-02-11T14:13:27.846266
BANANA,59067.6,1.05417e-05,4.5258,4.5185,2026-02-11T14:13:27.846269
TRB,34210.32,1.25e-05,14.24,14.223,2026-02-11T14:13:27.846272
FTT,567261.2000000001,1.25e-05,0.3393,0.33987,2026-02-11T14:13:27.846274
LOOM,0.0,0.0,0.071385,0.071161,2026-02-11T14:13:27.846277
OGN,0.0,0.0,0.0558,0.055683,2026-02-11T14:13:27.846280
RDNT,0.0,0.0,0.018338,0.018328,2026-02-11T14:13:27.846282
ARK,1308208.0,-0.0001024461,0.1868,0.18622,2026-02-11T14:13:27.846285
BNT,0.0,0.0,0.38349,0.38287,2026-02-11T14:13:27.846287
CANTO,0.0,0.0,0.06598,0.066,2026-02-11T14:13:27.846289
REQ,0.0,0.0,0.15423,0.15473,2026-02-11T14:13:27.846292
BIGTIME,15815298.0,3.1247e-06,0.01445,0.014425,2026-02-11T14:13:27.846294
KAS,23138442.0,-6.05645e-05,0.03277,0.032708,2026-02-11T14:13:27.846297
ORBS,0.0,0.0,0.019393,0.01939,2026-02-11T14:13:27.846299
BLUR,35430846.0,1.25e-05,0.01998,0.019914,2026-02-11T14:13:27.846302
TIA,8763521.400000004,-3.62432e-05,0.3181,0.31775,2026-02-11T14:13:27.846305
BSV,65547.3,-1.09392e-05,14.0,13.95,2026-02-11T14:13:27.846307
ADA,52346044.0,-3.4518e-06,0.26245,0.26225,2026-02-11T14:13:27.846310
TON,5596851.3999999985,1.16577e-05,1.334,1.3331,2026-02-11T14:13:27.846312
MINA,6452846.0,8.8434e-06,0.065779,0.065674,2026-02-11T14:13:27.846315
