coin,fundingRate,premium,time,funding_zscore,liquidation_risk
BTC,0.00125,8.28315e-05,2026-01-17 08:00:00.022,0.6903939700200828,normal
BTC,0.00125,0.0001529526,2026-01-17 09:00:00.004,0.6903939700200828,normal
BTC,0.00125,0.0002255095,2026-01-17 10:00:00.039,0.6903939700200828,normal
BTC,0.00125,0.0002329085,2026-01-17 11:00:00.095,0.6903939700200828,normal
BTC,0.00125,9.55991e-05,2026-01-17 12:00:00.021,0.6903939700200828,normal
BTC,0.00125,0.0001285987,2026-01-17 13:00:00.089,0.6903939700200828,normal
BTC,0.00125,0.0001152054,2026-01-17 14:00:00.030,0.6903939700200828,normal
BTC,0.00125,0.0001530131,2026-01-17 15:00:00.010,0.6903939700200828,normal
BTC,0.00125,0.000127034,2026-01-17 16:00:00.102,0.6903939700200828,normal
BTC,0.00125,5.03733e-05,2026-01-17 17:00:00.010,0.6903939700200828,normal
BTC,0.00125,9.72813e-05,2026-01-17 18:00:00.066,0.6903939700200828,normal
BTC,0.00125,0.0001214831,2026-01-17 19:00:00.038,0.6903939700200828,normal
BTC,0.00125,2.92014e-05,2026-01-17 20:00:00.073,0.6903939700200828,normal
BTC,0.00125,5.22208e-05,2026-01-17 21:00:00.017,0.6903939700200828,normal
BTC,0.00125,6.01903e-05,2026-01-17 22:00:00.036,0.6903939700200828,normal
BTC,0.00125,-6.85045e-05,2026-01-17 23:00:00.100,0.6903939700200828,normal
BTC,0.00125,-1.68865e-05,2026-01-18 00:00:00.017,0.6903939700200828,normal
BTC,0.00125,2.09616e-05,2026-01-18 01:00:00.117,0.6903939700200828,normal
BTC,0.00125,-0.0001018869,2026-01-18 02:00:00.061,0.6903939700200828,normal
BTC,0.00125,-7.8124e-05,2026-01-18 03:00:00.047,0.6903939700200828,normal
BTC,0.00125,-1.367e-07,2026-01-18 04:00:00.062,0.6903939700200828,normal
BTC,0.00125,-9.49027e-05,2026-01-18 05:00:00.034,0.6903939700200828,normal
BTC,0.00125,-9.02492e-05,2026-01-18 06:00:00.066,0.6903939700200828,normal
BTC,0.00125,-7.7379e-05,2026-01-18 07:00:00.063,0.6903939700200828,normal
BTC,0.00125,-7.45922e-05,2026-01-18 08:00:00.106,0.6903939700200828,normal
BTC,0.00125,-0.0001620132,2026-01-18 09:00:00.110,0.6903939700200828,normal
BTC,0.00125,-0.0001715295,2026-01-18 10:00:00.047,0.6903939700200828,normal
BTC,0.00125,-9.16008e-05,2026-01-18 11:00:00.085,0.6903939700200828,normal
BTC,0.00125,-0.0001624818,2026-01-18 12:00:00.016,0.6903939700200828,normal
BTC,0.00125,-0.0001155493,2026-01-18 13:00:00.054,0.6903939700200828,normal
BTC,0.00125,-9.44208e-05,2026-01-18 14:00:00.035,0.6903939700200828,normal
BTC,0.00125,-1.7461e-05,2026-01-18 15:00:00.030,0.6903939700200828,normal
BTC,0.00125,-6.35e-06,2026-01-18 16:00:00.021,0.6903939700200828,normal
BTC,0.00125,-1.28517e-05,2026-01-18 17:00:00.040,0.6903939700200828,normal
BTC,0.00125,-3.17998e-05,2026-01-18 18:00:00.067,0.6903939700200828,normal
BTC,0.00125,-3.879e-06,2026-01-18 19:00:00.018,0.6903939700200828,normal
BTC,0.00125,7.09704e-05,2026-01-18 20:00:00.055,0.6903939700200828,normal
BTC,0.00125,1.4828e-06,2026-01-18 21:00:00.024,0.6903939700200828,normal
BTC,0.00125,5.57006e-05,2026-01-18 22:00:00.042,0.6903939700200828,normal
BTC,0.00125,-5.727e-06,2026-01-18 23:00:00.113,0.6903939700200828,normal
BTC,0.00125,-0.0001815026,2026-01-19 00:00:00.034,0.6903939700200828,normal
BTC,0.00125,-0.0003882405,2026-01-19 01:00:00.098,0.6903939700200828,normal
BTC,0.00125,-0.000252432,2026-01-19 02:00:00.001,0.6903939700200828,normal
BTC,0.00125,-0.0002451082,2026-01-19 03:00:00.009,0.6903939700200828,normal
BTC,0.00125,-0.0002242892,2026-01-19 04:00:00.051,0.6903939700200828,normal
BTC,0.00125,-0.0003249072,2026-01-19 05:00:00.000,0.6903939700200828,normal
BTC,0.00125,-0.0003685035,2026-01-19 06:00:00.033,0.6903939700200828,normal
BTC,0.00037811,-0.0004697515,2026-01-19 07:00:00.014,-0.2740225605710656,normal
BTC,-0.00031354,-0.0005250833,2026-01-19 08:00:00.026,-1.0390716990901079,normal
BTC,0.00101489,-0.0004188091,2026-01-19 09:00:00.012,0.43033367513508025,normal
BTC,0.00125,-0.0003862552,2026-01-19 10:00:00.012,0.6903939700200828,normal
BTC,0.00117311,-0.0004061511,2026-01-19 11:00:00.094,0.605344265312891,normal
BTC,0.0012368,-0.0004010559,2026-01-19 12:00:00.000,0.6757931623450283,normal
BTC,0.00125,-0.0003435266,2026-01-19 13:00:00.041,0.6903939700200828,normal
BTC,0.00125,-0.0003558134,2026-01-19 14:00:00.040,0.6903939700200828,normal
BTC,0.0009647099999999,-0.0004228232,2026-01-19 15:00:00.049,0.3748284835338916,normal
BTC,0.00100925,-0.0004192598,2026-01-19 16:00:00.056,0.4240951482193751,normal
BTC,0.00076751,-0.0004385991,2026-01-19 17:00:00.011,0.15670126584303845,normal
BTC,0.0008953,-0.0004283758,2026-01-19 18:00:00.005,0.2980525698426747,normal
BTC,0.00059483,-0.0004524134,2026-01-19 19:00:00.012,-0.03430384546971837,normal
BTC,0.0007105,-0.0004431598,2026-01-19 20:00:00.025,0.09364126239191342,normal
BTC,0.00125,-0.0003671466,2026-01-19 21:00:00.079,0.6903939700200828,normal
BTC,0.0004654299999999,-0.0004627653,2026-01-19 22:00:00.033,-0.1774360055571044,normal
BTC,-0.00045685,-0.0005365482,2026-01-19 23:00:00.040,-1.1975900133258686,normal
BTC,-0.00090253,-0.0005722024,2026-01-20 00:00:00.007,-1.6905663742817956,normal
BTC,-8.992e-05,-0.0005071935,2026-01-20 01:00:00.011,-0.7917207436131641,normal
BTC,-0.00042163,-0.0005337305,2026-01-20 02:00:00.057,-1.158632403756519,normal
BTC,-0.00111645,-0.0005893157,2026-01-20 03:00:00.001,-1.9271879483611614,normal
BTC,-0.00118502,-0.0005948019,2026-01-20 04:00:00.167,-2.003034719745895,short_squeeze_risk
BTC,-0.00109062,-0.0005872498,2026-01-20 05:00:00.112,-1.8986168224333848,normal
BTC,-0.0017940399999999,-0.0006435229,2026-01-20 06:00:00.064,-2.6766850144625733,short_squeeze_risk
BTC,-0.0044066,-0.000852528,2026-01-20 07:00:00.110,-5.566494567458142,short_squeeze_risk
BTC,-0.00220249,-0.0006761995,2026-01-20 08:00:00.010,-3.1284804610441963,short_squeeze_risk
BTC,-0.00266791,-0.0007134332,2026-01-20 09:00:00.079,-3.64329166620509,short_squeeze_risk
